# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	577
#@/user_id	bf0c8134-52bc-4b1c-a9df-bd5224475e73
dong ti 	胴體	c=1 d=0.138761 t=577
dong tian 	冬天	c=1 d=1 t=444
dong xi 	東西	c=1 d=0.0408787 t=577
dong zhi 	東治	c=1 d=0.995012 t=577
dong zhi 	東芝	c=1 d=0.0699482 t=577
dong zuo 	動作	c=2 d=0.0856649 t=577
dou 	都	c=23 d=1.59854 t=577
dou ba 	都把	c=1 d=0.0306538 t=577
dou bu tong 	都不同	c=1 d=0.782705 t=577
dou bu zhi dao 	都不知道	c=1 d=0.0368832 t=577
dou chu lai 	都出來	c=1 d=0.311923 t=577
dou fu fan 	豆腐飯	c=1 d=3.64343e-05 t=577
dou hui 	都會	c=1 d=0.477322 t=577
dou hui zai 	都會在	c=1 d=0.501576 t=577
dou mei 	都沒	c=0 d=0.1 t=577
dou mei ting jian 	都沒聽見	c=1 d=1 t=577
dou shang 	都上	c=2 d=0.202059 t=577
dou shi 	都是	c=5 d=0.250341 t=577
dou xiang 	都想	c=1 d=1 t=577
dou xu 	都需	c=1 d=1 t=577
dou xu yao 	都需要	c=1 d=0.00404611 t=577
dou yi jing 	都已經	c=1 d=1 t=577
dou yong 	都用	c=1 d=0.782705 t=577
du 	度	c=3 d=0.0738912 t=577
du 	讀	c=2 d=0.217695 t=577
du dao 	讀到	c=1 d=1 t=577
du li 	獨立	c=2 d=0.774994 t=577
du shu 	讀書	c=4 d=3.06097 t=577
